cluster_index	bone_name	parent_name	x	y	z	weight_count
38	l_middle1	l_wrist	58.923561487928623	107.08980461139062	18.18752204694901	416
39	l_ring_null	l_ring3	64.744826707111528	100.62887020711158	19.669466321156957	186
40	l_ring3	l_ring2	63.261193052912226	101.98516378707302	18.737684592504024	245
41	l_ring2	l_ring1	61.557324278447211	103.76173187444098	17.736639187338998	297
42	l_ring1	l_wrist	59.027277159696858	106.3319934899817	16.25354204008643	384
43	l_pinky_null	l_pinky3	63.243209575532831	100.78133323911027	16.76249372824325	179
44	l_pinky3	l_pinky2	61.84906173990381	102.06585701743768	16.009763249891517	242
45	l_pinky2	l_pinky1	60.533726101742538	103.49248953908237	15.409650686454349	278
46	l_pinky1	l_pinky0	58.613078431763256	105.58667513885823	14.24220247759626	344
47	l_pinky0	l_wrist	55.563035758293111	108.57005342853728	12.61849820777987	337
48	l_wrist	l_wrist_twist	53.986413073840382	111.33133649022929	13.184833516727455	1044
49	l_wrist_twist	l_lowarm	53.986413073840382	111.33133649022929	13.184833516727455	545
50	l_lowarm	l_uparm	34.789700445482552	122.92299722450744	-1.8524444511254958	0
51	l_uparm	l_clavicle	17.586102351661761	141.9399991039474	-3.2159748195640052	0
52	l_clavicle	c_spine3	2.8217799663543413	140.55100009080465	6.3561826861567692	992
53	r_uparm_twist4_proc	r_uparm	-34.789700445482609	122.92299674804934	-1.8524444321138724	319
54	r_uparm_twist3_proc	r_uparm	-30.488801242004609	127.67724686539761	-2.1933269973046561	337
55	r_uparm_twist2_proc	r_uparm	-26.18790139857223	132.43149768776934	-2.534209616333138	399
56	r_uparm_twist1_proc	r_uparm	-21.887001875117036	137.18574815762932	-2.875092208442771	354
57	r_uparm_twist0_proc	r_uparm	-17.586102351661847	141.9399986274893	-3.215974800552404	490
58	r_lowarm_twist4_proc	r_lowarm	-50.147068721227086	113.6496667924869	10.177377164981019	435
59	r_lowarm_twist3_proc	r_lowarm	-46.307726387462175	115.96800352523313	7.1699228066773664	289
60	r_lowarm_twist2_proc	r_lowarm	-42.468386512252835	118.28633344747053	4.1624669092356648	255
61	r_lowarm_twist1_proc	r_lowarm	-38.629042622133298	120.60466349060397	1.155011093380411	362
62	r_thumb_null	r_thumb3	-52.324696780318824	106.62999250442981	25.394105368405608	185
63	r_thumb3	r_thumb2	-52.743596871739882	107.25399238528978	22.961505249269837	231
64	r_thumb2	r_thumb1	-52.73129703470515	108.24099236893706	19.729605145092069	316
65	r_thumb1	r_thumb0	-52.917297332542724	109.8449923539263	16.907505070926423	424
66	r_thumb0	r_wrist	-53.119197445856621	110.48299225329535	14.514105028306172	0
67	r_index_null	r_index3	-62.999095523841525	102.97999004630701	24.476804435227166	185
68	r_lowleg_twist4_proc	r_lowleg	-17.042196123508351	15.701246792265017	-5.3286695430019577	633
69	r_lowleg_twist3_proc	r_lowleg	-16.084391109777645	24.013854624860947	-4.4688998953002557	434
70	r_lowleg_twist2_proc	r_lowleg	-15.126586313229717	32.326460572568635	-3.6091304425517787	472
71	r_lowleg_twist1_proc	r_lowleg	-14.168781408090402	40.639067462720448	-2.7493608923266892	356
72	r_ball	r_transversetarsal	-19.464957749453312	2.0820779688839992	7.5405885784272408	689
73	r_transversetarsal	r_subtalar	-18.945735579274636	5.0479902244450603	0.36744992804602816	918
74	r_subtalar	r_talocrural	-18.878751545172307	3.9971796808235478	-5.6507337659025332	469
75	r_talocrural	r_foot	-18.000006113781218	7.3885924023956324	-6.1884439950335999	544
76	r_foot	r_lowleg	-18.00000092005628	7.3886408445573295	-6.1884389957504338	0
77	r_lowleg	r_upleg	-13.210976502951084	48.95167435287226	-1.8895913421016015	565
78	r_upleg	root	-8.2046499252319336	90.558116555213928	0.53257209062576294	0
79	l_upleg_twist4_proc	l_upleg	13.210975997963409	48.951674291548734	-1.8895913324734988	382
80	l_upleg_twist3_proc	l_upleg	11.959394479780544	59.353284857465034	-1.2840504766986833	345
81	l_upleg_twist2_proc	l_upleg	10.707812961597678	69.754895423381328	-0.67850962092386813	460
82	l_upleg_twist1_proc	l_upleg	9.456231443414806	80.156505989297628	-0.072968765149052595	677
83	l_upleg_twist0_proc	l_upleg	8.2046499252319336	90.558116555213928	0.53257209062576294	0
84	body_world		0	0	0	0
85	root	body_world	0	92.398696899414062	0	1363
86	l_upleg	root	8.2046499252319336	90.558116555213928	0.53257209062576294	0
87	l_lowleg	l_upleg	13.210975997963423	48.951674291548741	-1.8895913324734992	565
88	l_foot	l_lowleg	17.999998931460183	7.388640674904984	-6.1884395915314148	0
89	l_talocrural	l_foot	18.000004715879122	7.3885904730164924	-6.1884447838931544	544
90	l_subtalar	l_talocrural	18.878756651052566	3.997180055543859	-5.6507381746780982	469
91	l_transversetarsal	l_subtalar	18.945734915780836	5.0479899078125205	0.36744957684197743	918
92	l_ball	l_transversetarsal	19.464956750733279	2.0820774593400673	7.5405877444271967	689
93	l_lowleg_twist1_proc	l_lowleg	14.168780606381052	40.639067379731166	-2.749361003780407	356
94	l_lowleg_twist2_proc	l_lowleg	15.126585214798673	32.326460467913591	-3.6091306750873162	472
95	l_lowleg_twist3_proc	l_lowleg	16.084389714624933	24.013854498540137	-4.4689002489175982	434
96	l_lowleg_twist4_proc	l_lowleg	17.04219443163392	15.701246644278434	-5.3286700177011319	633
97	r_upleg_twist0_proc	r_upleg	-8.2046499252319336	90.558116555213928	0.53257209062576294	0
